2019397,의사일정 변경동의의 건,나경원,의원,2019-03-26,,본회의,,철회
2019632,공동주택관리법 일부개정법률안대안,국토교통위원장,위원장,2019-04-04,,국토교통위원회,2019-04-05,원안가결
2019631,도시 및 주거환경정비법 일부개정법률안대안,국토교통위원장,위원장,2019-04-04,,국토교통위원회,2019-04-05,원안가결
2019630,빈집 및 소규모주택 정비에 관한 특례법 일부개정법률안대안,국토교통위원장,위원장,2019-04-04,,국토교통위원회,2019-04-05,원안가결
2019629,주택도시기금법 일부개정법률안대안,국토교통위원장,위원장,2019-04-04,,국토교통위원회,2019-04-05,원안가결
2019628,민간임대주택에 관한 특별법 일부개정법률안대안,국토교통위원장,위원장,2019-04-04,,국토교통위원회,2019-04-05,원안가결
2019627,철도사업법 일부개정법률안대안,국토교통위원장,위원장,2019-04-04,,국토교통위원회,2019-04-05,원안가결
2019626,철도안전법 일부개정법률안대안,국토교통위원장,위원장,2019-04-04,,국토교통위원회,2019-04-05,원안가결
2019625,도시교통정비 촉진법 일부개정법률안대안,국토교통위원장,위원장,2019-04-04,,국토교통위원회,2019-04-05,원안가결
2019624,간선급행버스체계의 건설 및 운영에 관한 특별법 일부개정법률안대안,국토교통위원장,위원장,2019-04-04,,국토교통위원회,2019-04-05,원안가결
2019623,건축물관리법안대안,국토교통위원장,위원장,2019-04-04,,국토교통위원회,2019-04-05,원안가결
2019622,동·서·남해안 및 내륙권 발전 특별법 일부개정법률안대안,국토교통위원장,위원장,2019-04-04,,국토교통위원회,2019-04-05,원안가결
2019621,해외건설 촉진법 일부개정법률안대안,국토교통위원장,위원장,2019-04-04,,국토교통위원회,2019-04-05,원안가결
2019620,교통약자의 이동편의 증진법 일부개정법률안대안,국토교통위원장,위원장,2019-04-04,,국토교통위원회,2019-04-05,원안가결
2019619,자율주행자동차 상용화 촉진 및 지원에 관한 법률안대안,국토교통위원장,위원장,2019-04-04,,국토교통위원회,2019-04-05,원안가결
2019618,공공주택 특별법 일부개정법률안대안,국토교통위원장,위원장,2019-04-04,,국토교통위원회,2019-04-05,원안가결
2019617,건축법 일부개정법률안대안,국토교통위원장,위원장,2019-04-04,,국토교통위원회,2019-04-05,원안가결
2019616,스마트도시 조성 및 산업진흥 등에 관한 법률 일부개정법률안대안,국토교통위원장,위원장,2019-04-04,,국토교통위원회,2019-04-05,원안가결
2019615,녹색건축물 조성 지원법 일부개정법률안대안,국토교통위원장,위원장,2019-04-04,,국토교통위원회,2019-04-05,원안가결
2019614,개발제한구역의 지정 및 관리에 관한 특별조치법 일부개정법률안대안,국토교통위원장,위원장,2019-04-04,,국토교통위원회,2019-04-05,원안가결
2019613,국회입법조사처법 일부개정법률안,국회운영위원장,위원장,2019-04-04,,국회운영위원회,2019-04-05,원안가결
2019612,국회예산정책처법 일부개정법률안,국회운영위원장,위원장,2019-04-04,,국회운영위원회,2019-04-05,원안가결
2019611,국회법 일부개정법률안대안,국회운영위원장,위원장,2019-04-04,,국회운영위원회,2019-04-05,원안가결
2019610,노인장기요양보험법 일부개정법률안대안,보건복지위원장,위원장,2019-04-04,,보건복지위원회,2019-04-05,원안가결
2019609,국민영양관리법 일부개정법률안대안,보건복지위원장,위원장,2019-04-04,,보건복지위원회,2019-04-05,원안가결
2019608,구강보건법 일부개정법률안대안,보건복지위원장,위원장,2019-04-04,,보건복지위원회,2019-04-05,원안가결
2019607,수입식품안전관리 특별법 일부개정법률안대안,보건복지위원장,위원장,2019-04-04,,보건복지위원회,2019-04-05,원안가결
2019606,국민건강보험법 일부개정법률안대안,보건복지위원장,위원장,2019-04-04,,보건복지위원회,2019-04-05,원안가결
2019605,국민기초생활 보장법 일부개정법률안대안,보건복지위원장,위원장,2019-04-04,,보건복지위원회,2019-04-05,원안가결
2019604,식품위생법 일부개정법률안대안,보건복지위원장,위원장,2019-04-04,,보건복지위원회,2019-04-05,원안가결
2019603,보건의료인력지원법안대안,보건복지위원장,위원장,2019-04-04,,보건복지위원회,2019-04-05,원안가결
2019602,의료기기산업 육성 및 혁신의료기기 지원법안대안,보건복지위원장,위원장,2019-04-04,,보건복지위원회,2019-04-05,원안가결
2019601,의료법 일부개정법률안대안,보건복지위원장,위원장,2019-04-04,,보건복지위원회,2019-04-05,원안가결
2019600,의료기기법 일부개정법률안대안,보건복지위원장,위원장,2019-04-04,,보건복지위원회,2019-04-05,원안가결
2019599,지뢰피해자 지원에 관한 특별법 일부개정법률안,국방위원장,위원장,2019-04-04,,국방위원회,2019-04-05,원안가결
2019598,병역법 일부개정법률안대안,국방위원장,위원장,2019-04-04,,국방위원회,2019-04-05,원안가결
2019597,군인사법 일부개정법률안대안,국방위원장,위원장,2019-04-04,,국방위원회,2019-04-05,원안가결
2019596,장사 등에 관한 법률 일부개정법률안대안,보건복지위원장,위원장,2019-04-04,,보건복지위원회,2019-04-05,원안가결
2019595,체외진단의료기기법안대안,보건복지위원장,위원장,2019-04-04,,보건복지위원회,2019-04-05,원안가결
2019594,정신건강증진 및 정신질환자 복지서비스 지원에 관한 법률 일부개정법률안대안,보건복지위원장,위원장,2019-04-04,,보건복지위원회,2019-04-05,원안가결
2019593,축산물 위생관리법 일부개정법률안대안,보건복지위원장,위원장,2019-04-04,,보건복지위원회,2019-04-05,원안가결
2019592,영유아보육법 일부개정법률안대안,보건복지위원장,위원장,2019-04-04,,보건복지위원회,2019-04-05,원안가결
2019591,군용항공기 비행안전성 인증에 관한 법률 일부개정법률안대안,국방위원장,위원장,2019-04-04,,국방위원회,2019-04-05,원안가결
2019590,국방·군사시설 사업에 관한 법률 일부개정법률안대안,국방위원장,위원장,2019-04-04,,국방위원회,2019-04-05,원안가결
2019589,군사기지 및 군사시설 보호법 일부개정법률안대안,국방위원장,위원장,2019-04-04,,국방위원회,2019-04-05,원안가결
2019587,중소기업창업 지원법 일부개정법률안대안,산업통상자원위원장,위원장,2019-04-04,,산업통상자원중소벤처기업위원회,2019-04-05,원안가결
2019586,전기사업법 일부개정법률안대안,산업통상자원중소벤처기업위원장,위원장,2019-04-04,,산업통상자원중소벤처기업위원회,2019-04-05,원안가결
2019585,벤처기업육성에 관한 특별조치법 일부개정법률안대안,산업통상자원중소벤처기업위원장,위원장,2019-04-04,,산업통상자원중소벤처기업위원회,2019-04-05,원안가결
2019583,고등교육법 일부개정법률안대안,교육위원장,위원장,2019-04-04,,교육위원회,2019-04-05,원안가결
2019582,해양심층수의 개발 및 관리에 관한 법률 일부개정법률안대안,농림축산식품해양수산위원장,위원장,2019-04-04,,농림축산식품해양수산위원회,2019-04-05,원안가결
2019581,하도급거래 공정화에 관한 법률 일부개정법률안,정무위원장,위원장,2019-04-04,,정무위원회,2019-04-05,원안가결
2019580,고용정책 기본법 일부개정법률안대안,환경노동위원장,위원장,2019-04-04,,환경노동위원회,2019-04-05,원안가결
2019579,고용상 연령차별금지 및 고령자고용촉진에 관한 법률 일부개정법률안대안,환경노동위원장,위원장,2019-04-04,,환경노동위원회,2019-04-05,원안가결
2019577,범죄수익은닉의 규제 및 처벌 등에 관한 법률 일부개정법률안대안,법제사법위원장,위원장,2019-04-04,,법제사법위원회,2019-04-05,원안가결
2019576,형의 집행 및 수용자의 처우에 관한 법률 일부개정법률안대안,법제사법위원장,위원장,2019-04-04,,법제사법위원회,2019-04-05,원안가결
2019575,출입국관리법 일부개정법률안대안,법제사법위원장,위원장,2019-04-04,,법제사법위원회,2019-04-05,원안가결
2019571,2018년도 국정감사 결과보고서 채택의 건,국회운영위원장,위원장,2019-04-04,,국회운영위원회,2019-04-05,원안가결
2019564,일본 초등 교과서 검정 시정 촉구 결의안,교육위원장,위원장,2019-04-04,,교육위원회,2019-04-05,원안가결
2019486,2018년도 국정감사 결과보고서 채택의 건,여성가족위원장,위원장,2019-03-29,,여성가족위원회,2019-04-05,원안가결
2019483,2018년도 국정감사 결과보고서 채택의 건,정보위원장,위원장,2019-03-29,,정보위원회,2019-04-05,원안가결
2019462,2018년도 국정감사 결과보고서 채택의 건,행정안전위원장,위원장,2019-03-29,,행정안전위원회,2019-04-05,원안가결
2019436,2018년도 국정감사 결과보고서 채택의 건,국방위원장,위원장,2019-03-29,,국방위원회,2019-04-05,원안가결
2019432,2018년도 국방위원회 국정감사 관련 감사원에 대한 감사요구안,국방위원장,위원장,2019-03-28,,국방위원회,2019-04-05,원안가결
2019425,2018년도 행정안전위원회 국정감사 관련 감사원에 대한 감사요구안,행정안전위원장,위원장,2019-03-28,,행정안전위원회,2019-04-05,원안가결
2019305,의료법 일부개정법률안,전혜숙,의원,2019-03-19,2019-03-20,보건복지위원회,2019-04-05,대안반영폐기
2019290,의료법 일부개정법률안,신창현,의원,2019-03-19,2019-03-20,보건복지위원회,2019-04-05,대안반영폐기
2019133,고용상 연령차별금지 및 고령자고용촉진에 관한 법률 일부개정법률안,임이자,의원,2019-03-12,2019-03-13,환경노동위원회,2019-04-05,대안반영폐기
2019128,대한민국과 아메리카합중국 간의 상호방위조약 제4조에 의한 시설과 구역 및 대한민국에서의 합중국군대의 지위에 관한 협정 제5조에 대한 특별조치에 관한 대한민국과 미합중국 간의 협정 비준동의안,정부,정부,2019-03-12,2019-03-13,외교통일위원회,2019-04-05,원안가결
2018964,의료법 일부개정법률안,정태옥,의원,2019-03-05,2019-03-06,보건복지위원회,2019-04-05,대안반영폐기
2018890,정신건강증진 및 정신질환자 복지서비스 지원에 관한 법률 일부개정법률안,이찬열,의원,2019-02-28,2019-03-04,보건복지위원회,2019-04-05,대안반영폐기
2018683,고용상 연령차별금지 및 고령자고용촉진에 관한 법률 일부개정법률안,한정애,의원,2019-02-18,2019-02-19,환경노동위원회,2019-04-05,대안반영폐기
2018615,육군3사관학교 설치법 일부개정법률안,백승주,의원,2019-02-13,2019-02-14,국방위원회,2019-04-05,원안가결
2018611,국군간호사관학교 설치법 일부개정법률안,백승주,의원,2019-02-13,2019-02-14,국방위원회,2019-04-05,원안가결
2018440,국민영양관리법 일부개정법률안,이명수,의원,2019-01-31,2019-02-01,보건복지위원회,2019-04-05,대안반영폐기
2018439,구강보건법 일부개정법률안,이명수,의원,2019-01-31,2019-02-01,보건복지위원회,2019-04-05,대안반영폐기
2018368,국민영양관리법 일부개정법률안,신동근,의원,2019-01-28,2019-01-29,보건복지위원회,2019-04-05,대안반영폐기
2018359,구강보건법 일부개정법률안,신동근,의원,2019-01-28,2019-01-29,보건복지위원회,2019-04-05,대안반영폐기
2018334,의료법 일부개정법률안,윤일규,의원,2019-01-25,2019-01-28,보건복지위원회,2019-04-05,대안반영폐기
2018308,수입식품안전관리 특별법 일부개정법률안,김명연,의원,2019-01-24,2019-01-25,보건복지위원회,2019-04-05,대안반영폐기
2018272,식품위생법 일부개정법률안,이명수,의원,2019-01-21,2019-01-22,보건복지위원회,2019-04-05,대안반영폐기
2018253,국민건강보험법 일부개정법률안,김순례,의원,2019-01-18,2019-01-21,보건복지위원회,2019-04-05,대안반영폐기
2018232,국민건강보험법 일부개정법률안,윤일규,의원,2019-01-17,2019-01-18,보건복지위원회,2019-04-05,대안반영폐기
2018231,의료법 일부개정법률안,윤일규,의원,2019-01-17,2019-01-18,보건복지위원회,2019-04-05,대안반영폐기
2018211,의료법 일부개정법률안,김기선,의원,2019-01-17,2019-01-18,보건복지위원회,2019-04-05,대안반영폐기
2018204,국민건강보험법 일부개정법률안,김순례,의원,2019-01-16,2019-01-17,보건복지위원회,2019-04-05,대안반영폐기
2018197,병역법 일부개정법률안,김현아,의원,2019-01-16,2019-01-17,국방위원회,2019-04-05,대안반영폐기
2018169,의료법 일부개정법률안,전혜숙,의원,2019-01-14,2019-01-15,보건복지위원회,2019-04-05,대안반영폐기
2018162,의료법 일부개정법률안,기동민,의원,2019-01-14,2019-01-15,보건복지위원회,2019-04-05,대안반영폐기
2018109,국군포로의 송환 및 대우 등에 관한 법률 일부개정법률안,송갑석,의원,2019-01-09,2019-01-10,국방위원회,2019-04-05,원안가결
2018088,국립사범대학 졸업자 중 교원미임용자 임용 등에 관한 특별법 폐지법률안,전희경,의원,2019-01-08,2019-01-09,교육위원회,2019-04-05,원안가결
2018086,병역의무 이행 관련 교원미임용자 채용에 관한 특별법 폐지법률안,전희경,의원,2019-01-08,2019-01-09,교육위원회,2019-04-05,원안가결
2018078,보건의료인력지원법안,윤종필,의원,2019-01-07,2019-01-08,보건복지위원회,2019-04-05,대안반영폐기
2018077,의료법 일부개정법률안,윤종필,의원,2019-01-07,2019-01-08,보건복지위원회,2019-04-05,대안반영폐기
