2003349,국가인권위원회법 일부개정법률안,장정숙,의원,2016-11-07,2016-11-08,국회운영위원회,2016-11-21,철회
2003682,휴회의 건,의장,의장,2016-11-17,,본회의,2016-11-17,원안가결
2003680,박근혜 정부의 최순실 등 민간인에 의한 국정농단 의혹 사건 진상규명을 위한 국정조사계획서 승인의 건,박근혜정부의최순실등민간인에의한국정농단의혹사건진상규명을위한국정조사특별위원장,위원장,2016-11-17,,박근혜정부의최순실등민간인에의한국정농단의혹사건진상규명을위한국정조사특별위원회,2016-11-17,원안가결
2003665,의료기사 등에 관한 법률 일부개정법률안대안,보건복지위원장,위원장,2016-11-16,,보건복지위원회,2016-11-17,원안가결
2003664,도로교통법 일부개정법률안대안,안전행정위원장,위원장,2016-11-16,,안전행정위원회,2016-11-17,원안가결
2003663,전통시장 및 상점가 육성을 위한 특별법 일부개정법률안대안,산업통상자원위원장,위원장,2016-11-16,,산업통상자원위원회,2016-11-17,원안가결
2003662,발명진흥법 일부개정법률안대안,산업통상자원위원장,위원장,2016-11-16,,산업통상자원위원회,2016-11-17,원안가결
2003661,응급의료에 관한 법률 일부개정법률안대안,보건복지위원장,위원장,2016-11-16,,보건복지위원회,2016-11-17,원안가결
2003660,도시가스사업법 일부개정법률안대안,산업통상자원위원장,위원장,2016-11-16,,산업통상자원위원회,2016-11-17,원안가결
2003659,감염병의 예방 및 관리에 관한 법률 일부개정법률안대안,보건복지위원장,위원장,2016-11-16,,보건복지위원회,2016-11-17,원안가결
2003658,마약류 관리에 관한 법률 일부개정법률안대안,보건복지위원장,위원장,2016-11-16,,보건복지위원회,2016-11-17,원안가결
2003657,모자보건법 일부개정법률안대안,보건복지위원장,위원장,2016-11-16,,보건복지위원회,2016-11-17,원안가결
2003656,산업표준화법 일부개정법률안대안,산업통상자원위원장,위원장,2016-11-16,,산업통상자원위원회,2016-11-17,원안가결
2003655,국민건강증진법 일부개정법률안대안,보건복지위원장,위원장,2016-11-16,,보건복지위원회,2016-11-17,원안가결
2003654,노인복지법 일부개정법률안대안,보건복지위원장,위원장,2016-11-16,,보건복지위원회,2016-11-17,원안가결
2003653,가축전염병 예방법 일부개정법률안대안,농림축산식품해양수산위원장,위원장,2016-11-16,,농림축산식품해양수산위원회,2016-11-17,원안가결
2003652,농어업인 삶의 질 향상 및 농어촌지역 개발촉진에 관한 특별법 일부개정법률안대안,농림축산식품해양수산위원장,위원장,2016-11-16,,농림축산식품해양수산위원회,2016-11-17,원안가결
2003651,식물방역법 일부개정법률안대안,농림축산식품해양수산위원장,위원장,2016-11-16,,농림축산식품해양수산위원회,2016-11-17,원안가결
2003650,약사법 일부개정법률안대안,보건복지위원장,위원장,2016-11-16,,보건복지위원회,2016-11-17,원안가결
2003649,농어업재해보험법 일부개정법률안대안,농림축산식품해양수산위원장,위원장,2016-11-16,,농림축산식품해양수산위원회,2016-11-17,원안가결
2003648,의료기기법 일부개정법률안대안,보건복지위원장,위원장,2016-11-16,,보건복지위원회,2016-11-17,원안가결
2003647,식품위생법 일부개정법률안대안,보건복지위원장,위원장,2016-11-16,,보건복지위원회,2016-11-17,원안가결
2003646,산림자원의 조성 및 관리에 관한 법률 일부개정법률안대안,농림축산식품해양수산위원장,위원장,2016-11-16,,농림축산식품해양수산위원회,2016-11-17,원안가결
2003645,산지관리법 일부개정법률안대안,농림축산식품해양수산위원장,위원장,2016-11-16,,농림축산식품해양수산위원회,2016-11-17,원안가결
2003644,농수산물의 원산지 표시에 관한 법률 일부개정법률안대안,농림축산식품해양수산위원장,위원장,2016-11-16,,농림축산식품해양수산위원회,2016-11-17,원안가결
2003643,친환경농어업 육성 및 유기식품 등의 관리·지원에 관한 법률 일부개정법률안대안,농림축산식품해양수산위원장,위원장,2016-11-16,,농림축산식품해양수산위원회,2016-11-17,원안가결
2003642,댐건설 및 주변지역지원 등에 관한 법률 일부개정법률안대안,국토교통위원장,위원장,2016-11-16,,국토교통위원회,2016-11-17,원안가결
2003641,주택법 일부개정법률안대안,국토교통위원장,위원장,2016-11-16,,국토교통위원회,2016-11-17,원안가결
2003640,농수산물 유통 및 가격안정에 관한 법률 일부개정법률안대안,농림축산식품해양수산위원장,위원장,2016-11-16,,농림축산식품해양수산위원회,2016-11-17,원안가결
2003639,여객자동차 운수사업법 일부개정법률안대안,국토교통위원장,위원장,2016-11-16,,국토교통위원회,2016-11-17,원안가결
2003636,공공주택 특별법 일부개정법률안대안,국토교통위원장,위원장,2016-11-16,,국토교통위원회,2016-11-17,원안가결
2003635,공인중개사법 일부개정법률안대안,국토교통위원장,위원장,2016-11-16,,국토교통위원회,2016-11-17,원안가결
2003634,새만금사업 추진 및 지원에 관한 특별법 일부개정법률안대안,국토교통위원장,위원장,2016-11-16,,국토교통위원회,2016-11-17,원안가결
2003633,형의 집행 및 수용자의 처우에 관한 법률 일부개정법률안대안,법제사법위원장,위원장,2016-11-16,,법제사법위원회,2016-11-17,원안가결
2003632,질서위반행위규제법 일부개정법률안대안,법제사법위원장,위원장,2016-11-16,,법제사법위원회,2016-11-17,원안가결
2003630,민법 일부개정법률안대안,법제사법위원장,위원장,2016-11-16,,법제사법위원회,2016-11-17,원안가결
2003604,박근혜 정부의 최순실 등 민간인에 의한 국정농단 의혹 사건 규명을 위한 특별검사의 임명 등에 관한 법률안,우상호,의원,2016-11-15,2016-11-15,법제사법위원회,2016-11-17,원안가결
2003367,2016년도 보건복지위원회 국정감사 관련 감사원에 대한 감사요구안,보건복지위원장,위원장,2016-11-08,,보건복지위원회,2016-11-17,원안가결
