2017033,한국국제협력단법 일부개정법률안,천정배,의원,2018-12-04,2018-12-05,외교통일위원회,,
2017032,경찰대학 설치법 전부개정법률안,표창원,의원,2018-12-04,2018-12-05,사법개혁 특별위원회,,
2017031,모자보건법 일부개정법률안,윤종필,의원,2018-12-04,2018-12-05,보건복지위원회,,
2017030,경찰공무원법 일부개정법률안,표창원,의원,2018-12-04,2018-12-05,사법개혁 특별위원회,,
2017029,사회보장급여의 이용·제공 및 수급권자 발굴에 관한 법률 일부개정법률안,이명수,의원,2018-12-04,2018-12-05,보건복지위원회,,
2017028,영유아보육법 일부개정법률안,이명수,의원,2018-12-04,2018-12-05,보건복지위원회,,
2017027,에너지 및 자원사업 특별회계법 일부개정법률안,김정훈,의원,2018-12-04,2018-12-05,산업통상자원중소벤처기업위원회,,
2017026,대중교통의 육성 및 이용촉진에 관한 법률 일부개정법률안,이용호,의원,2018-12-04,2018-12-05,국토교통위원회,,
2017025,석유 및 석유대체연료 사업법 일부개정법률안,김정훈,의원,2018-12-04,2018-12-05,산업통상자원중소벤처기업위원회,,
2017024,이동통신단말장치 유통구조 개선에 관한 법률 일부개정법률안,변재일,의원,2018-12-04,2018-12-05,과학기술정보방송통신위원회,,
2017023,개발이익 환수에 관한 법률 일부개정법률안,윤후덕,의원,2018-12-03,2018-12-04,국토교통위원회,,
2017022,도로교통법 일부개정법률안,신창현,의원,2018-12-03,2018-12-04,행정안전위원회,,
2017021,방송통신위원회의 설치 및 운영에 관한 법률 일부개정법률안,노웅래,의원,2018-12-03,2018-12-04,과학기술정보방송통신위원회,,
2017020,지방자치분권 및 지방행정체제개편에 관한 특별법 일부개정법률안,김병관,의원,2018-12-03,2018-12-04,행정안전위원회,,
2017019,지방자치법 일부개정법률안,김병관,의원,2018-12-03,2018-12-04,행정안전위원회,,
2017018,학교보건법 일부개정법률안,신동근,의원,2018-12-03,2018-12-04,교육위원회,,
2017017,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,주승용,의원,2018-12-03,2018-12-04,환경노동위원회,,
2017016,영유아보육법 일부개정법률안,장정숙,의원,2018-12-03,2018-12-04,보건복지위원회,,
2017015,화학물질의 등록 및 평가 등에 관한 법률 일부개정법률안,송옥주,의원,2018-12-03,2018-12-04,환경노동위원회,,
2017014,하천법 일부개정법률안,윤후덕,의원,2018-12-03,2018-12-04,국토교통위원회,,
2017013,전기통신사업법 일부개정법률안,권미혁,의원,2018-12-03,2018-12-04,과학기술정보방송통신위원회,,
2017012,영산강·섬진강수계 물관리 및 주민지원 등에 관한 법률 일부개정법률안,윤후덕,의원,2018-12-03,2018-12-04,환경노동위원회,,
2017011,낙동강수계 물관리 및 주민지원 등에 관한 법률 일부개정법률안,윤후덕,의원,2018-12-03,2018-12-04,환경노동위원회,,
2017010,금강수계 물관리 및 주민지원 등에 관한 법률 일부개정법률안,윤후덕,의원,2018-12-03,2018-12-04,환경노동위원회,,
2017009,원자력안전법 일부개정법률안,윤후덕,의원,2018-12-03,2018-12-04,과학기술정보방송통신위원회,,
2017008,초·중등교육법 일부개정법률안,신동근,의원,2018-12-03,2018-12-04,교육위원회,,
2017007,원자력 진흥법 일부개정법률안,윤후덕,의원,2018-12-03,2018-12-04,과학기술정보방송통신위원회,,
2017006,환경오염시설의 통합관리에 관한 법률 일부개정법률안,윤후덕,의원,2018-12-03,2018-12-04,환경노동위원회,,
2017005,국민건강증진법 일부개정법률안,윤후덕,의원,2018-12-03,2018-12-04,보건복지위원회,,
2017004,지역농산물 이용촉진 등 농산물 직거래 활성화에 관한 법률 일부개정법률안,김종회,의원,2018-12-03,2018-12-04,농림축산식품해양수산위원회,,
2017003,도시개발법 일부개정법률안,윤후덕,의원,2018-12-03,2018-12-04,국토교통위원회,,
2017002,도로법 일부개정법률안,윤후덕,의원,2018-12-03,2018-12-04,국토교통위원회,,
2017001,한강수계 상수원수질개선 및 주민지원 등에 관한 법률 일부개정법률안,윤후덕,의원,2018-12-03,2018-12-04,환경노동위원회,,
2017000,먹는물관리법 일부개정법률안,윤후덕,의원,2018-12-03,2018-12-04,환경노동위원회,,
2016999,물환경보전법 일부개정법률안,윤후덕,의원,2018-12-03,2018-12-04,환경노동위원회,,
2016998,수도권 대기환경개선에 관한 특별법 일부개정법률안,윤후덕,의원,2018-12-03,2018-12-04,환경노동위원회,,
2016997,국유림의 경영 및 관리에 관한 법률 일부개정법률안,윤후덕,의원,2018-12-03,2018-12-04,농림축산식품해양수산위원회,,
2016996,수도권정비계획법 일부개정법률안,윤후덕,의원,2018-12-03,2018-12-04,국토교통위원회,,
2016995,신에너지 및 재생에너지 개발·이용·보급 촉진법 일부개정법률안,윤한홍,의원,2018-12-03,2018-12-04,산업통상자원중소벤처기업위원회,,
2016994,자원봉사활동 기본법 일부개정법률안,김재경,의원,2018-12-03,2018-12-04,행정안전위원회,,
2016993,소상공인 보호 및 지원에 관한 법률 일부개정법률안,박재호,의원,2018-12-03,2018-12-04,산업통상자원중소벤처기업위원회,,
2016992,생활화학제품 및 살생물제의 안전관리에 관한 법률 일부개정법률안,송옥주,의원,2018-12-03,2018-12-04,환경노동위원회,,
2016991,국민건강보험법 일부개정법률안,윤소하,의원,2018-12-03,2018-12-04,보건복지위원회,,
2016990,성매매방지 및 피해자보호 등에 관한 법률 일부개정법률안,권미혁,의원,2018-12-03,2018-12-04,여성가족위원회,,
2016989,의료법 일부개정법률안,김상희,의원,2018-12-03,2018-12-04,보건복지위원회,,
2016988,지방세외수입금의 징수 등에 관한 법률 일부개정법률안,정부,정부,2018-12-03,2018-12-04,행정안전위원회,,
2016987,디엔에이신원확인정보의 이용 및 보호에 관한 법률 일부개정법률안,권미혁,의원,2018-12-03,2018-12-04,법제사법위원회,,
2016986,문화재보호법 일부개정법률안,김영주,의원,2018-12-03,2018-12-04,문화체육관광위원회,,
2016977,낚시 관리 및 육성법 일부개정법률안,서삼석,의원,2018-11-30,2018-12-03,농림축산식품해양수산위원회,,
2016976,영유아보육법 일부개정법률안,강석진,의원,2018-11-30,2018-12-03,보건복지위원회,,
2016975,외국인근로자의 고용 등에 관한 법률 일부개정법률안,이만희,의원,2018-11-30,2018-12-03,환경노동위원회,,
2016974,사립학교법 일부개정법률안,김한표,의원,2018-11-30,2018-12-03,교육위원회,,
2016973,유아교육법 일부개정법률안,김한표,의원,2018-11-30,2018-12-03,교육위원회,,
2016972,철도안전법 일부개정법률안,박완수,의원,2018-11-30,2018-12-03,국토교통위원회,,
2016971,국민기초생활 보장법 일부개정법률안,김경진,의원,2018-11-30,2018-12-03,보건복지위원회,,
2016970,통계법 일부개정법률안,서형수,의원,2018-11-30,2018-12-03,기획재정위원회,,
2016969,부가가치세법 일부개정법률안,박성중,의원,2018-11-30,2018-12-03,기획재정위원회,,
2016968,최저임금법 일부개정법률안,이만희,의원,2018-11-30,2018-12-03,환경노동위원회,,
2016967,벤처기업육성에 관한 특별조치법 일부개정법률안,정부,정부,2018-11-30,2018-12-03,산업통상자원중소벤처기업위원회,,
2016966,학교급식법 일부개정법률안,김한표,의원,2018-11-30,2018-12-03,교육위원회,,
2016965,문화재보호법 일부개정법률안,김영주,의원,2018-11-30,2018-12-03,문화체육관광위원회,,
2016964,매장문화재 보호 및 조사에 관한 법률 일부개정법률안,김영주,의원,2018-11-30,2018-12-03,문화체육관광위원회,,
2016963,영유아보육법 일부개정법률안,채이배,의원,2018-11-30,2018-12-03,보건복지위원회,,
2016962,국제개발협력기본법 일부개정법률안,이석현,의원,2018-11-30,2018-12-03,외교통일위원회,,
2016961,조세특례제한법 일부개정법률안,권은희,의원,2018-11-30,2018-12-03,기획재정위원회,,
2016960,공동주택관리법 일부개정법률안,정부,정부,2018-11-30,2018-12-03,국토교통위원회,,
2016959,소하천정비법 일부개정법률안,정부,정부,2018-11-30,2018-12-03,행정안전위원회,,
2016958,정부조직법 일부개정법률안,서형수,의원,2018-11-30,2018-12-03,행정안전위원회,,
2016957,형법 일부개정법률안,박범계,의원,2018-11-30,2018-12-03,법제사법위원회,,
2016956,국회법 일부개정법률안,서형수,의원,2018-11-30,2018-12-03,국회운영위원회,,
2016955,인사청문회법 일부개정법률안,서형수,의원,2018-11-30,2018-12-03,국회운영위원회,,
2016954,국가연구개발사업 등의 성과평가 및 성과관리에 관한 법률 일부개정법률안,백재현,의원,2018-11-30,2018-12-03,과학기술정보방송통신위원회,,
2016953,서민의 금융생활 지원에 관한 법률 일부개정법률안,김종석,의원,2018-11-30,2018-12-03,정무위원회,,
2016952,에너지법 일부개정법률안,이학재,의원,2018-11-30,2018-12-03,산업통상자원중소벤처기업위원회,,
2016951,고용보험법 일부개정법률안,김관영,의원,2018-11-30,2018-12-03,환경노동위원회,,
2016950,한국관광공사법 일부개정법률안,우상호,의원,2018-11-30,2018-12-03,문화체육관광위원회,,
2016949,화재예방 소방시설 설치·유지 및 안전관리에 관한 법률 일부개정법률안,김영호,의원,2018-11-30,2018-12-03,행정안전위원회,,
2016948,청년발전지원법안,신보라,의원,2018-11-30,2018-12-03,여성가족위원회,,
