2014140,공직자 등의 병역사항 신고 및 공개에 관한 법률 일부개정법률안,김병기,의원,2018-06-29,2018-07-17,국방위원회,,
2014139,지역보건법 일부개정법률안,임이자,의원,2018-06-29,2018-07-17,보건복지위원회,,
2014138,야생생물 보호 및 관리에 관한 법률 일부개정법률안,임이자,의원,2018-06-29,2018-07-17,환경노동위원회,,
2014136,신에너지 및 재생에너지 개발·이용·보급 촉진법 일부개정법률안,이원욱,의원,2018-06-29,2018-07-17,산업통상자원중소벤처기업위원회,,
2014135,전기사업법 일부개정법률안,이원욱,의원,2018-06-29,2018-07-17,산업통상자원중소벤처기업위원회,,
2014134,자원의 절약과 재활용촉진에 관한 법률 일부개정법률안,김영호,의원,2018-06-29,2018-07-17,환경노동위원회,,
2014133,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,김삼화,의원,2018-06-29,2018-07-17,환경노동위원회,,
2014132,가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안,이명수,의원,2018-06-29,2018-07-17,여성가족위원회,,
2014130,문화재보호법 일부개정법률안,조훈현,의원,2018-06-29,2018-07-27,문화체육관광위원회,,
2014129,대기환경보전법 일부개정법률안,임이자,의원,2018-06-29,2018-07-17,환경노동위원회,,
2014127,항공안전법 일부개정법률안,윤후덕,의원,2018-06-29,2018-07-17,국토교통위원회,,
2014125,금융그룹 통합감독법안,박선숙,의원,2018-06-29,2018-07-17,정무위원회,,
2014124,국회법 일부개정법률안,이정미,의원,2018-06-29,2018-07-17,국회운영위원회,,
2014123,원자력안전법 일부개정법률안,김성수,의원,2018-06-29,2018-07-17,과학기술정보방송통신위원회,,
2014121,주민등록법 일부개정법률안,백재현,의원,2018-06-29,2018-07-18,행정안전위원회,,
2014120,형법 일부개정법률안,박선숙,의원,2018-06-29,2018-07-17,법제사법위원회,,
2014119,근로기준법 일부개정법률안,한정애,의원,2018-06-29,2018-07-17,환경노동위원회,,
2014118,특수임무유공자 예우 및 단체설립에 관한 법률 일부개정법률안,조승래,의원,2018-06-29,2018-07-17,정무위원회,,
2014114,축산법 일부개정법률안,김기선,의원,2018-06-29,2018-07-17,농림축산식품해양수산위원회,,
2014112,국가재정법 일부개정법률안,백재현,의원,2018-06-29,2018-07-17,기획재정위원회,,
2014111,고엽제후유의증 등 환자지원 및 단체설립에 관한 법률 일부개정법률안,조승래,의원,2018-06-29,2018-07-17,정무위원회,,
2014110,철도안전법 일부개정법률안,김기선,의원,2018-06-29,2018-07-17,국토교통위원회,,
2014109,건축사법 일부개정법률안,김기선,의원,2018-06-29,2018-07-17,국토교통위원회,,
2014108,화물자동차 운수사업법 일부개정법률안,김기선,의원,2018-06-29,2018-07-17,국토교통위원회,,
2014107,교통안전법 일부개정법률안,김기선,의원,2018-06-29,2018-07-17,국토교통위원회,,
2014106,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안,송희경,의원,2018-06-29,2018-07-17,과학기술정보방송통신위원회,,
2014105,청소년 기본법 일부개정법률안,김기선,의원,2018-06-29,2018-07-17,여성가족위원회,,
2014104,사회복지사업법 일부개정법률안,김기선,의원,2018-06-29,2018-07-17,보건복지위원회,,
2014103,노인복지법 일부개정법률안,김기선,의원,2018-06-29,2018-07-17,보건복지위원회,,
2014101,경비업법 일부개정법률안,김기선,의원,2018-06-29,2018-07-18,행정안전위원회,,
2014100,방송법 일부개정법률안,김석기,의원,2018-06-29,2018-07-17,과학기술정보방송통신위원회,,
